system:index,AMOSTRAS,AMOSTRA_AM,BioNB,CARTA_2,CLASS_2022,DECLIVIDAD,LAT,LON,NEW_PROB,NEW_WEIGHT,PESO_VOT,PROB_AMOS2,StateNB,TARGETID,VAL_PESO,classification,reference,year,.geo
00000000000000005008_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-3.80948347,-43.8146474,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,16891,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000500b_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-3.14895224,-42.1588727,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,2406,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005029_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-2.8821526,-43.9192113,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,1934,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000502b_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-3.26806885,-43.6610355,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,16948,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000502e_0,,0,4,SA-23-Z,PASTAGEM,D1,-2.95114322,-42.0863787,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,16952,0.3333333333333333,3,15,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005033_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-2.79941777,-42.9759803,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,16964,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005038_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D1,-3.56451289,-43.1180039,1.1945065471771139E-5,60305.96763411252,4.6912963403985656E-6,1.4073889021195698E-5,21.0,16977,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005039_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.15649809,-43.3848036,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,1874,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005045_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.46156596,-43.0398505,1.0946847778015985E-5,55301.69792534376,7.034695621282403E-6,1.4069391242564806E-5,21.0,6,0.5,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005049_0,,0,1,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.17158979,-44.1242967,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17021,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
